date,bitcoin,isPartial
2016-08-23,43,False
2016-08-24,42,False
2016-08-25,43,False
2016-08-26,43,False
2016-08-27,38,False
2016-08-28,37,False
2016-08-29,40,False
2016-08-30,40,False
2016-08-31,42,False
2016-09-01,92,False
2016-09-02,83,False
2016-09-03,84,False
2016-09-04,99,False
2016-09-05,96,False
2016-09-06,93,False
2016-09-07,94,False
2016-09-08,99,False
2016-09-09,95,False
2016-09-10,90,False
2016-09-11,86,False
2016-09-12,100,False
2016-09-13,97,False
2016-09-14,93,False
2016-09-15,97,False
2016-09-16,90,False
2016-09-17,84,False
2016-09-18,79,False
2016-09-19,86,False
2016-09-20,89,False
2016-09-21,96,False
2016-09-22,99,False
2016-09-23,89,False
2016-09-24,96,False
2016-09-25,79,False
2016-09-26,88,False
2016-09-27,88,False
2016-09-28,84,False
2016-09-29,86,False
2016-09-30,88,False
2016-10-01,64,False
2016-10-02,61,False
2016-10-03,67,False
2016-10-04,67,False
2016-10-05,66,False
2016-10-06,69,False
2016-10-07,72,False
2016-10-08,63,False
2016-10-09,64,False
2016-10-10,67,False
2016-10-11,79,False
2016-10-12,77,False
2016-10-13,72,False
2016-10-14,74,False
2016-10-15,67,False
2016-10-16,73,False
2016-10-17,72,False
2016-10-18,71,False
2016-10-19,72,False
2016-10-20,67,False
2016-10-21,65,False
2016-10-22,73,False
2016-10-23,73,False
2016-10-24,74,False
2016-10-25,70,False
2016-10-26,75,False
2016-10-27,80,False
2016-10-28,87,False
2016-10-29,100,False
2016-10-30,87,False
2016-10-31,84,False
2016-11-01,79,False
2016-11-02,73,False
2016-11-03,76,False
2016-11-04,72,False
2016-11-05,73,False
2016-11-06,69,False
2016-11-07,66,False
2016-11-08,69,False
2016-11-09,100,False
2016-11-10,69,False
2016-11-11,69,False
2016-11-12,68,False
2016-11-13,68,False
2016-11-14,69,False
2016-11-15,73,False
2016-11-16,75,False
2016-11-17,78,False
2016-11-18,79,False
2016-11-19,74,False
2016-11-20,71,False
2016-11-21,72,False
2016-11-22,74,False
2016-11-23,80,False
2016-11-24,77,False
2016-11-25,70,False
2016-11-26,67,False
2016-11-27,70,False
2016-11-28,74,False
2016-11-29,77,False
2016-11-30,70,False
2016-12-01,62,False
2016-12-02,64,False
2016-12-03,57,False
2016-12-04,54,False
2016-12-05,62,False
2016-12-06,57,False
2016-12-07,60,False
2016-12-08,63,False
2016-12-09,59,False
2016-12-10,55,False
2016-12-11,54,False
2016-12-12,58,False
2016-12-13,61,False
2016-12-14,60,False
2016-12-15,56,False
2016-12-16,57,False
2016-12-17,56,False
2016-12-18,53,False
2016-12-19,60,False
2016-12-20,62,False
2016-12-21,75,False
2016-12-22,90,False
2016-12-23,100,False
2016-12-24,80,False
2016-12-25,81,False
2016-12-26,79,False
2016-12-27,86,False
2016-12-28,99,False
2016-12-29,99,False
2016-12-30,87,False
2016-12-31,70,False
2017-01-01,50,False
2017-01-02,82,False
2017-01-03,68,False
2017-01-04,91,False
2017-01-05,100,False
2017-01-06,87,False
2017-01-07,75,False
2017-01-08,72,False
2017-01-09,67,False
2017-01-10,63,False
2017-01-11,75,False
2017-01-12,74,False
2017-01-13,59,False
2017-01-14,56,False
2017-01-15,53,False
2017-01-16,50,False
2017-01-17,55,False
2017-01-18,53,False
2017-01-19,52,False
2017-01-20,48,False
2017-01-21,47,False
2017-01-22,45,False
2017-01-23,48,False
2017-01-24,50,False
2017-01-25,46,False
2017-01-26,45,False
2017-01-27,45,False
2017-01-28,43,False
2017-01-29,44,False
2017-01-30,46,False
2017-01-31,48,False
2017-02-01,78,False
2017-02-02,80,False
2017-02-03,81,False
2017-02-04,75,False
2017-02-05,75,False
2017-02-06,76,False
2017-02-07,74,False
2017-02-08,81,False
2017-02-09,84,False
2017-02-10,79,False
2017-02-11,75,False
2017-02-12,70,False
2017-02-13,70,False
2017-02-14,71,False
2017-02-15,72,False
2017-02-16,77,False
2017-02-17,74,False
2017-02-18,72,False
2017-02-19,63,False
2017-02-20,72,False
2017-02-21,85,False
2017-02-22,82,False
2017-02-23,95,False
2017-02-24,100,False
2017-02-25,89,False
